customer_id,name,email,age,gender,location,device_type,loyalty_status,total_spend,acquisition_date
CUST1017,Sasha Hoffman,sasha.hoffman16@hotmail.com,31.0,female,"Chicago, USA",tablet,gold,4874.41,2026-01-15 11:06:54.000000
CUST1018,Jade Jensen,jade.jensen23@gmail.com,19.0,Male,"New York, USA",tablet,bronze,2466.08,2025-05-22 02:44:12.000000
CUST1019,Freya Silva,freya.silva85@icloud.com,59.0,Male,"Tokyo, Japan",desktop,silver,1553.38,2025-06-21 17:24:19.000000
CUST1020,Nina Nguyen,nina.nguyen65@icloud.com,68.0,Non-binary,"Sydney, Australia",mobile,bronze,3015.46,2024-10-15 17:51:41.000000
CUST1021,Riya Walker,riya.walker11@gmail.com,65.0,Non-binary,"Berlin, Germany",desktop,gold,17223.85,2024-09-26 09:48:02.000000
CUST1022,Mei Ward,mei.ward29@gmail.com,53.0,Female,"São Paulo, Brazil",tablet,bronze,8320.69,
CUST1023,Leo Simon,leo.simon24@yahoo.com,43.0,Female,"Berlin, Germany",desktop,bronze,7690.79,2026-01-02 02:41:30.000000
CUST1024,Chloe Torres,chloe.torres85@hotmail.com,46.0,Male,"Los Angeles, USA",desktop,bronze,4777.39,2024-07-23 18:43:23.000000
CUST1025,Zara Reed,zara.reed1@hotmail.com,29.0,Female,"Tokyo, Japan", tablet ,gold,1457.91,2025-08-20 02:01:09.000000
CUST1026,Freya Johnson,freya.johnson80@hotmail.com,41.0,Non-binary,"Berlin, Germany",tablet,bronze,0.0,2025-03-18 02:11:43.000000
CUST1027,Nathan Johansson,nathan.johansson19@yahoo.com,34.0,Female,"Chicago, USA",desktop,silver,,2025-06-23 10:49:08.000000
CUST1028,Nathan Khan,nathan.khan61@hotmail.com,68.0,Male,"LONDON, UK",tablet,silver,6768.8,2025-04-21 13:12:21.000000
,Brian Campbell,brian.campbell25@outlook.com,50.0,Male,"Delhi, India",tablet,silver,0.0,2024-06-18 07:14:37.000000
CUST1030,Tara Cox,tara.cox7@protonmail.com,22.0,Female,"São Paulo, Brazil",mobile,bronze,5484.34,2025-08-11 12:36:36.000000
CUST1031,Oscar Blanc,oscar.blanc83@outlook.com,60.0,Prefer not to say,"Los Angeles, USA",DESKTOP,bronze,11049.6,2024-06-01 20:24:14.000000
CUST1032,Fiona Muller,,39.0,Female,"Chicago, USA",,bronze,,2025-06-04 06:19:25.000000
CUST1033,Leila Moreira,leila.moreira61@yahoo.com,54.0,Female,"Berlin, Germany",mobile,bronze,13662.23,2025-04-21 17:23:19.000000
CUST1034,Jade Meyer,jade.meyer21@outlook.com,50.0,Female,"London, UK",desktop,bronze,3521.45,2024-03-08 21:27:14.000000
CUST1035,Aisha Olsen,aisha.olsen5@outlook.com,48.0,Male,,mobile,gold,,2024-09-26 18:36:09.000000
CUST1036,Kevin Baker,kevin.baker9@gmail.com,49.0,Male,,desktop,silver,1645.11,2024-04-08 13:38:02.000000
CUST1037,,clara.campbell61@gmail.com,41.0,Male,"Sydney, Australia",tablet,bronze,8247.41,2024-06-30 23:53:52.000000
CUST1038,Raj Cook,raj.cook18@gmail.com,,Male,"Delhi, India",,silver,2141.62,2024-03-24 03:07:54.000000
CUST1039,David Petit,david.petit96@hotmail.com,42.0,Male,"Toronto, Canada",tablet,platinum,2117.5,2024-05-05 16:33:49.000000
CUST1040,Darren Andersen,darren.andersen89@hotmail.com,20.0,Prefer not to say,"Tokyo, Japan",mobile,silver,2843.98,2024-03-11 04:30:11.000000
CUST1041,Simon Anderson,simon.anderson83@outlook.com,,Male,"London, UK",tablet,,2380.03,2024-07-09 12:11:13.000000
CUST1042,Elena Colombo,elena.colombo58@yahoo.com,36.0,Prefer not to say,"Los Angeles, USA",desktop,platinum,13628.51,2025-08-20 02:47:36.000000
CUST1043,Mei Fontaine,mei.fontaine90@protonmail.com,41.0,Male,"Toronto, Canada",tablet,silver,5322.14,2024-10-13 05:35:48.000000
CUST1044,Stefan Levy,stefan.levy74@gmail.com,38.0,Female,"Dubai, UAE",tablet,silver,3312.03,2024-05-22 10:31:51.000000
CUST1045,Sean Sharma,sean.sharma67@outlook.com,34.0,Prefer not to say,"Paris, France",mobile,bronze,9639.02,2024-11-04 05:41:06.000000
CUST1046, oscar sharma ,oscar.sharma74@outlook.com,67.0,female,"Tokyo, Japan",tablet,silver,7734.01,2025-02-10 17:49:45.000000
CUST1047,Raj Peterson,raj.peterson45@hotmail.com,41.0,Male,"London, UK",desktop,silver,459.02,2025-11-08 20:19:34.000000
CUST1048,Max Martin,max.martin66@hotmail.com,37.0,Male,"Houston, USA",mobile,gold,4202.37,2024-02-22 08:26:16.000000
CUST1049,Fatima Olsen,fatima.olsen47@gmail.com,54.0,Male,"London, UK",tablet,platinum,10744.47,2024-11-05 09:00:29.000000
CUST1050,Sean Colombo,,63.0,Female,"Berlin, Germany",desktop,gold,,2025-11-20 08:25:59.000000
CUST1051,,nina.williams43@protonmail.com,44.0,Female,"New York, USA",tablet,silver,2336.94,2024-06-27 10:34:30.000000
CUST1052,Grace Mitchell,grace.mitchell32@gmail.com,62.0,Male,"Sydney, Australia",tablet,gold,0.0,2024-07-26 01:07:46.000000
CUST1053,Yara Campbell,yara.campbell59@icloud.com,40.0,Non-binary,"Mumbai, India",mobile,platinum,0.0,2025-08-16 12:18:21.000000
CUST1054,Adam Olsen,adam.olsen93@outlook.com,54.0,Male,"Toronto, Canada",desktop,platinum,15096.23,2024-07-31 05:00:11.000000
CUST1055,Leila Bailey,leila.bailey79@protonmail.com,33.0,Prefer not to say,"Los Angeles, USA",mobile,platinum,2731.66,2025-07-07 02:48:13.000000
CUST1056,Lucia Jensen,lucia.jensen42@outlook.com,67.0,Female,"dubai, uae",,gold,6274.78,2025-09-19 18:25:53.000000
CUST1057, Zara Thomas ,zara.thomas43@outlook.com,59.0,Female,"London, UK",desktop,bronze,13343.19,2025-10-22 04:58:39.000000
CUST1058,Amara Yamamoto,amara.yamamoto52@hotmail.com,23.0,Male,"Dubai, UAE",mobile,bronze,7053.0,2024-09-06 03:42:14.000000
CUST1059,Samuel Morgan,samuel.morgan52@protonmail.com,63.0,Female,"Delhi, India",mobile,platinum,7997.8,2026-01-24 23:46:02.000000
CUST1060,Carlos Scott,carlos.scott97@icloud.com,23.0,Female,"Los Angeles, USA",tablet,bronze,5455.65,2025-07-28 09:37:20.000000
CUST1061,Hannah Lemoine,hannah.lemoine59@yahoo.com,47.0,Female,"New York, USA",tablet,silver,2761.66,2024-04-02 19:14:46.000000
CUST1062,Chloe Adams,chloe.adams99@yahoo.com,64.0,Female,"São Paulo, Brazil",mobile,silver,2695.36,2024-07-03 14:59:22.000000
CUST1063,Amelia Sullivan,amelia.sullivan97@gmail.com,47.0,Female,"Houston, USA",mobile,bronze,2681.01,2025-10-03 00:16:17.000000
CUST1064,Noor Ward,noor.ward58@icloud.com,21.0,Male,"Toronto, Canada",tablet,platinum,3714.34,2025-10-08 01:09:21.000000
CUST1065,Darren Cooper,darren.cooper29@hotmail.com,21.0,Female,"Tokyo, Japan",desktop,gold,4416.69,2024-06-10 21:37:04.000000
CUST1066,Andre Rogers,andre.rogers91@yahoo.com,21.0,Prefer not to say,"Houston, USA",mobile,bronze,,2024-09-11 12:29:12.000000
,Iris Durand,iris.durand76@protonmail.com,31.0,Non-binary,"New York, USA",tablet,silver,0.0,2024-07-23 20:24:04.000000
CUST1068,Clara Reed,clara.reed84@outlook.com,41.0,Female,"London, UK",mobile,silver,7201.01,2024-09-05 13:10:54.000000
CUST1069,Sarah Lee,sarah.lee30@hotmail.com,33.0,Female,"São Paulo, Brazil",tablet,gold,6052.2,2025-03-01 06:52:33.000000
CUST1070,Vincent David,,18.0,Non-binary,"New York, USA",mobile,silver,7274.05,2024-02-21 03:15:47.000000
,Maya Laurent,maya.laurent37@gmail.com,62.0,Non-binary,"Los Angeles, USA",tablet,bronze,0.0,2024-12-27 08:53:58.000000
CUST1072,Erik Reed,erik.reed11@protonmail.com,59.0,Male,"New York, USA",mobile,gold,3749.77,2024-04-30 01:40:24.000000
CUST1073,Marcus David,marcus.david73@hotmail.com,22.0,Male,"Chicago, USA",mobile,gold,5290.5,2024-06-21 04:17:31.000000
CUST1074,Lucas Rogers,lucas.rogers50@protonmail.com,62.0,Female,"Bangalore, India",tablet,,2641.26,2024-09-15 07:11:06.000000
CUST1075,Patrick Watanabe,patrick.watanabe24@protonmail.com,42.0,Female,"Los Angeles, USA",tablet,bronze,6170.9,2025-01-26 10:28:38.000000
CUST1076,Fatima Mitchell,fatima.mitchell72@icloud.com,19.0,Female,"São Paulo, Brazil",desktop,silver,729.78,2025-03-26 18:05:33.000000
CUST1077,Emily Nguyen,emily.nguyen9@yahoo.com,44.0,Female,"Sydney, Australia",mobile,bronze,2865.16,2024-12-07 01:39:43.000000
CUST1078,Iris Larsson,iris.larsson77@yahoo.com,56.0,Male,"Delhi, India",desktop,bronze,4109.21,2024-11-25 12:22:58.000000
CUST1079,Sasha Ito,sasha.ito71@gmail.com,47.0,Male,"Los Angeles, USA",desktop,bronze,8946.06,2025-01-09 15:40:36.000000
CUST1080,Henry Bell,henry.bell65@protonmail.com,20.0,Male,"Tokyo, Japan",mobile,silver,11608.42,2024-12-22 09:24:52.000000
CUST1081,Marcus Cooper,marcus.cooper29@icloud.com,53.0,Female,"Toronto, Canada",,bronze,318.36,2024-05-16 03:41:21.000000
CUST1082,Rosa Bernard,rosa.bernard67@hotmail.com,24.0,Female,,desktop,bronze,2160.66,2024-06-30 12:02:38.000000
CUST1083,Serena Mitchell,serena.mitchell81@yahoo.com,60.0,Male,,mobile,gold,2894.33,2025-12-24 06:52:22.000000
CUST1084,Ethan Tanaka,ethan.tanaka63@icloud.com,38.0,Female,"São Paulo, Brazil",tablet,silver,2679.44,2024-05-17 13:06:01.000000
CUST1085,Raj Adams,raj.adams77@yahoo.com,45.0,Female,"Chicago, USA",mobile,silver,4734.78,2025-02-26 09:45:54.000000
CUST1086,Oliver Romano,oliver.romano88@hotmail.com,46.0,male,"Mumbai, India",desktop,silver,5017.53,2024-09-11 01:48:40.000000
CUST1087,,gabriel.scott93@hotmail.com,45.0,Non-binary,"New York, USA",mobile,gold,10144.2,2025-05-17 15:41:44.000000
CUST1088,Aiden Williams,aiden.williams27@yahoo.com,54.0,Male,"Sydney, Australia",tablet,bronze,2120.38,2026-01-29 15:05:24.000000
CUST1089,Aiden Morris,aiden.morris19@protonmail.com,33.0,Female,"Mumbai, India",mobile,bronze,5152.56,2026-02-12 06:34:12.000000
CUST1090,Freya Roux,freya.roux94@gmail.com,47.0,Female,"Bangalore, India",mobile,bronze,6121.68,2025-12-09 02:18:30.000000
CUST1091,Erik Bertrand,erik.bertrand59@gmail.com,28.0,Male,"Sydney, Australia",desktop,bronze,2374.92,2024-11-30 19:40:12.000000
CUST1092,Kenji Mitchell,kenji.mitchell97@yahoo.com,23.0,Male,"Houston, USA",mobile,platinum,1657.92,2024-04-11 00:20:07.000000
CUST1093,Amelia Mitchell,amelia.mitchell39@yahoo.com,70.0,Male,"Berlin, Germany",mobile,silver,2108.61,2025-08-02 06:31:15.000000
CUST1094,Fiona Morgan,fiona.morgan94@hotmail.com,45.0,Male,"Berlin, Germany",desktop,gold,174.21,2025-03-24 03:32:35.000000
CUST1095,Nathan Dubois,nathan.dubois31@hotmail.com,33.0,Female,"Delhi, India",tablet,bronze,397.7,
CUST1096,Thomas Ward,thomas.ward51@icloud.com,63.0,Female,"Berlin, Germany",mobile,bronze,2402.35,2024-12-15 11:45:47.000000
CUST1097,Kevin Moreira,kevin.moreira56@protonmail.com,33.0,Male,"Paris, France",tablet,gold,7224.12,2024-11-11 07:03:07.000000
CUST1098,Isabella Durand,isabella.durand35@protonmail.com,67.0,Male,"Mumbai, India",mobile,bronze,5684.52,2024-06-17 04:28:14.000000
CUST1099,Mei Moreau,,18.0,Female,,tablet,bronze,4125.49,2024-09-13 16:36:53.000000
CUST1100,Leila Levy,leila.levy29@icloud.com,43.0,Female,"Delhi, India",desktop,bronze,3704.53,2025-05-20 13:55:06.000000
CUST1101,Lucas Sato,,,Female,,tablet,bronze,2717.25,2025-01-07 01:56:04.000000
CUST1102,Thomas Fernandez,thomas.fernandez30@icloud.com,41.0,Female,"Tokyo, Japan",tablet,bronze,1004.94,2026-02-04 06:40:23.000000
CUST1103,Elena Cooper,elena.cooper10@yahoo.com,67.0,Male,"Bangalore, India",mobile,gold,3733.7,2024-10-09 06:58:41.000000
,Noah Girard,noah.girard12@protonmail.com,40.0,Male,"CHICAGO, USA",tablet,bronze,0.0,2024-04-03 21:35:48.000000
CUST1105,Hannah Laurent,hannah.laurent81@protonmail.com,55.0, non-binary ,"London, UK",desktop,bronze,49.14,2025-08-31 16:22:11.000000
CUST1106,Ethan Hoffman,ethan.hoffman24@outlook.com,,Female,"Bangalore, India",mobile,bronze,2845.76,2025-06-19 22:06:50.000000
,Raj Romano,raj.romano62@icloud.com,40.0,Female,,desktop,silver,0.0,2024-06-18 23:37:19.000000
CUST1108,Jack Hoffman,jack.hoffman8@yahoo.com,69.0,Prefer not to say,"Houston, USA",tablet,gold,1885.27,2024-06-05 08:58:43.000000
CUST1109,James Petit,james.petit40@yahoo.com,23.0,FEMALE,"Paris, France",tablet,gold,1161.25,2025-08-16 08:29:30.000000
CUST1110,Alina Hill,alina.hill48@protonmail.com,43.0,Male,"Sydney, Australia",desktop,platinum,5255.2,2025-10-19 06:35:25.000000
CUST1111,Henry Hassan,henry.hassan38@yahoo.com,18.0,Prefer not to say," Paris, France ",tablet,platinum,6428.1,2024-08-18 20:33:56.000000
CUST1112,Caleb Sato,caleb.sato86@protonmail.com,39.0,Male,"Mumbai, India",mobile,platinum,7352.49,2024-12-06 03:42:50.000000
CUST1113,Eva Rogers,eva.rogers98@protonmail.com,46.0,Non-binary,"Los Angeles, USA",desktop,platinum,5914.33,2025-06-06 15:10:00.000000
CUST1114,Sean Andersen,sean.andersen56@yahoo.com,39.0,Male,"Sydney, Australia",,silver,5767.52,
CUST1115,Tobias Santos,tobias.santos13@gmail.com,58.0,Male,"Bangalore, India",desktop,bronze,8175.39,
CUST1116,Hana Petit,hana.petit20@protonmail.com,23.0,Non-binary,"Houston, USA",tablet,gold,,2025-02-19 22:10:20.000000
CUST1117,Sasha Bertrand,sasha.bertrand67@icloud.com,57.0,Prefer not to say,"Chicago, USA", mobile ,bronze,1395.76,2025-05-23 04:29:32.000000
CUST1118,Hannah David,hannah.david51@icloud.com,35.0, Prefer not to say ,"Toronto, Canada",mobile,platinum,1935.57,2025-10-13 11:45:59.000000
CUST1119,Miles Morgan,miles.morgan50@protonmail.com,56.0,Male,,,silver,16106.01,2024-11-04 10:16:48.000000
CUST1120,Aisha Moreira,aisha.moreira13@yahoo.com,65.0,Non-binary,"Tokyo, Japan",desktop,gold,5254.2,2024-06-18 11:27:40.000000
CUST1121,Fatima Taylor,fatima.taylor73@gmail.com,30.0,Male,"Sydney, Australia",desktop,BRONZE,12858.74,2024-07-02 22:23:59.000000
CUST1122,Felix Lopez,felix.lopez34@protonmail.com,23.0,Male,"Houston, USA",tablet,silver,12524.2,
CUST1123,,elsa.rogers33@icloud.com,37.0,Female,"São Paulo, Brazil",desktop,,2459.3,2025-07-14 11:12:01.000000
CUST1124,Sean Richardson,sean.richardson88@gmail.com,39.0,Female,"Sydney, Australia",mobile,gold,3344.01,2025-05-27 01:25:53.000000
CUST1125,HANA NGUYEN,hana.nguyen54@hotmail.com,20.0,Prefer not to say,"Sydney, Australia",desktop,silver,9609.05,2025-12-27 19:02:49.000000
CUST1126,Alina Campbell,alina.campbell72@yahoo.com,39.0,Male,"Bangalore, India",desktop,bronze,,2025-05-11 17:49:13.000000
CUST1127,Luna Cook,luna.cook49@icloud.com,21.0,Male,"Paris, France",mobile,gold,10430.55,2024-07-02 08:14:35.000000
CUST1128,Tobias Romano,tobias.romano74@yahoo.com,66.0,Male,"Bangalore, India",mobile,platinum,2863.96,2025-04-03 11:11:14.000000
CUST1129,James Bernard,james.bernard45@outlook.com,42.0,,"Mumbai, India",tablet,platinum,7778.85,2024-11-21 00:55:18.000000
CUST1130,,victor.campbell29@protonmail.com,31.0,Female,"Tokyo, Japan",tablet,bronze,4140.4,2025-07-07 15:23:00.000000
CUST1131,Ian Silva,ian.silva33@hotmail.com,31.0,Female,"Tokyo, Japan",tablet,bronze,7799.26,2024-05-14 13:20:52.000000
CUST1132,Elif Moreau,elif.moreau26@outlook.com,36.0,Female,,tablet,silver,14292.02,2025-10-13 11:25:19.000000
CUST1133,Olivia Oliveira,olivia.oliveira38@outlook.com,24.0,Non-binary,"Tokyo, Japan",mobile,bronze,1824.15,2024-10-28 06:40:54.000000
CUST1134,Andre Bailey,andre.bailey44@yahoo.com,43.0,Male,"Toronto, Canada",mobile,bronze,1612.63,2025-01-04 03:19:07.000000
CUST1135,Rosa Becker,,61.0,Female,"London, UK",mobile,bronze,514.5,2025-09-15 14:09:09.000000
CUST1136,Rosa Martin,rosa.martin67@protonmail.com,24.0,Female,"Tokyo, Japan",tablet,bronze,2441.92,2025-02-14 12:10:47.000000
CUST1137,Aiden Mitchell,aiden.mitchell36@gmail.com,53.0,Female,"Toronto, Canada",desktop,silver,7853.91,
CUST1138,Ines Cruz,ines.cruz82@outlook.com,53.0,Female,"New York, USA",desktop,silver,7569.2,2024-05-14 13:32:58.000000
,Hugo Baker,hugo.baker38@icloud.com,62.0,Non-binary,"Sydney, Australia",tablet,gold,0.0,2024-07-13 00:38:44.000000
CUST1140,Mia Lemoine,mia.lemoine76@gmail.com,46.0,Female,,desktop,silver,6724.8,2025-05-10 09:02:07.000000
CUST1141,Patrick Oliveira,patrick.oliveira42@icloud.com,44.0,Prefer not to say,"Delhi, India",mobile,gold,8885.02,2025-04-16 11:50:36.000000
CUST1142,Diana Moreau,diana.moreau80@protonmail.com,40.0,Male,"Chicago, USA",desktop,silver,5967.57,2025-08-20 13:39:50.000000
CUST1143,Vincent Thomas,vincent.thomas2@icloud.com,42.0,Female,"Chicago, USA",mobile,,9531.13,2025-11-09 06:32:54.000000
CUST1144,Hannah Cruz,hannah.cruz83@icloud.com,50.0,Female,"Dubai, UAE",tablet,bronze,1212.39,2025-10-14 13:29:42.000000
CUST1145,Gabriel Fontaine,gabriel.fontaine48@icloud.com,56.0,Female,"Tokyo, Japan",tablet,silver,9350.39,2025-05-14 14:17:20.000000
CUST1146,Sean Petit,sean.petit77@gmail.com,58.0,Female,"Delhi, India",tablet,bronze,2864.27,2025-04-08 03:04:32.000000
CUST1147,Carlos Rivera,carlos.rivera38@yahoo.com,57.0,Prefer not to say,"New York, USA",mobile,silver,4918.22,2024-10-22 06:41:58.000000
CUST1148,Fatima Ali,fatima.ali4@icloud.com,41.0,Female,"Tokyo, Japan",mobile, silver ,2612.88,2025-10-08 20:37:07.000000
CUST1149,Carlos Bertrand,carlos.bertrand95@hotmail.com,22.0,Male,"Los Angeles, USA",desktop,bronze,946.95,2025-06-19 12:06:04.000000
CUST1150,,elena.lemoine93@icloud.com,65.0,Female,"Los Angeles, USA",tablet,silver,2640.66,2025-02-18 03:46:14.000000
CUST1151,Sophia Williams,sophia.williams38@protonmail.com,61.0,Prefer not to say,"New York, USA", mobile ,silver,7209.23,2025-09-13 21:15:57.000000
CUST1152,Leo Schulz,leo.schulz21@yahoo.com,34.0,Male,"São Paulo, Brazil",tablet,bronze,8286.98,2025-09-01 13:57:50.000000
CUST1153,Mira Dubois,mira.dubois37@icloud.com,30.0,Female,"Paris, France",desktop,bronze,2338.07,2025-06-27 18:05:46.000000
CUST1154,Hannah Cooper,hannah.cooper60@hotmail.com,37.0,Male,"Mumbai, India",tablet,silver,3194.28,2025-12-06 21:27:16.000000
CUST1155,Sana Anderson,sana.anderson5@icloud.com,52.0,Female,"Toronto, Canada",mobile,bronze,5506.37,2025-12-05 15:31:37.000000
CUST1156,Freya Sharma,freya.sharma21@yahoo.com,54.0,Prefer not to say,"delhi, india",,bronze,3774.54,2025-02-14 19:21:43.000000
,James Tanaka,james.tanaka67@protonmail.com,65.0,Female,"Delhi, India",mobile,platinum,0.0,2025-12-20 23:27:44.000000
CUST1158,fiona rossi,fiona.rossi30@gmail.com,35.0,Male,"Los Angeles, USA",desktop,silver,737.99,2025-11-24 07:02:58.000000
CUST1159,Hannah Jensen,hannah.jensen66@gmail.com,27.0,Male,"Paris, France",tablet,platinum,,2025-02-16 03:47:01.000000
CUST1160,Noor Brown,noor.brown99@yahoo.com,50.0,Female,"Paris, France",mobile,gold,13241.9,2024-06-11 04:01:21.000000
CUST1161,Lucia Rogers,lucia.rogers69@icloud.com,23.0,Male,"Dubai, UAE",desktop,bronze,6980.21,2025-10-31 03:57:34.000000
CUST1162,Olivia Girard,olivia.girard90@icloud.com,26.0,Female,"Paris, France",,silver,5868.8,2024-07-24 13:16:55.000000
CUST1163,Ryan Anderson,ryan.anderson33@outlook.com,45.0,Female,"Houston, USA",desktop,silver,7420.12,2025-10-09 08:01:52.000000
CUST1164,Caleb Suzuki,caleb.suzuki58@protonmail.com,24.0,Female,"Sydney, Australia",,bronze,9022.23,2025-01-19 04:01:25.000000
CUST1165,Aiden Cook,aiden.cook52@icloud.com,36.0,Female,,tablet,bronze,3519.82,2025-08-11 12:02:48.000000
,,jade.young21@gmail.com,67.0,Female,"New York, USA",mobile,silver,0.0,2025-11-10 10:17:57.000000
CUST1167,Isabella Bernard,isabella.bernard34@yahoo.com,24.0,Female,"Berlin, Germany",tablet,bronze,6819.44,2024-11-05 19:44:07.000000
CUST1168,,zara.blanc15@outlook.com,58.0,Male,"Bangalore, India",mobile,bronze,5279.75,2024-11-07 15:12:33.000000
CUST1169,Grace Jensen,grace.jensen35@yahoo.com,61.0,Male,"Houston, USA",mobile,bronze,6209.67,2024-04-16 23:06:51.000000
CUST1170,Mira Hill,mira.hill6@hotmail.com,38.0,Prefer not to say,"London, UK",tablet,silver,2318.78,2025-02-21 12:31:56.000000
CUST1171,Sarah Pereira,sarah.pereira59@gmail.com,47.0,Male,"Los Angeles, USA",desktop,bronze,10850.15,2024-07-07 20:23:57.000000
CUST1172,Kevin Cook,kevin.cook36@hotmail.com,26.0,Female,"Toronto, Canada",desktop,,10657.65,2025-01-08 09:42:53.000000
CUST1173,Derek Hoffman,derek.hoffman63@outlook.com,,Male,"Mumbai, India",desktop,bronze,9035.96,
CUST1174,Liam Costa,liam.costa74@protonmail.com,29.0,Male,"Toronto, Canada",desktop,platinum,989.49,2026-02-06 05:44:14.000000
CUST1175,Marco Lopez,marco.lopez21@outlook.com,38.0,Female,"Dubai, UAE",desktop,silver,,2024-05-23 02:54:46.000000
CUST1176,Nathan Hoffman,nathan.hoffman22@hotmail.com,22.0,Female,"Berlin, Germany",desktop,platinum,3128.94,2025-09-10 21:44:03.000000
CUST1177,,mira.suzuki85@outlook.com,38.0,Female,"Berlin, Germany",tablet,silver,2874.24,2025-01-18 20:33:57.000000
CUST1178,Olivia Bell,olivia.bell12@hotmail.com,44.0,male,"Delhi, India",tablet,SILVER,5079.57,2024-08-13 14:10:02.000000
CUST1179,Thomas Larsson,thomas.larsson32@yahoo.com,59.0,Male,"Houston, USA",tablet,bronze,4979.09,2025-01-01 17:05:10.000000
CUST1180,Mateo Oliveira,mateo.oliveira58@outlook.com,49.0, Male ,"Los Angeles, USA",desktop,bronze,6127.41,2024-10-15 00:12:37.000000
CUST1181,,kevin.cooper11@yahoo.com,67.0,Female,"Mumbai, India",mobile,bronze,5227.88,2024-03-13 00:40:37.000000
CUST1182,Leila David,leila.david50@protonmail.com,38.0,Female,"Los Angeles, USA",mobile,silver,2385.84,2025-01-18 05:21:35.000000
CUST1183,Luna Rogers,luna.rogers2@gmail.com,62.0,Female,"Chicago, USA",desktop,silver,119.43,2025-08-13 17:42:14.000000
CUST1184,Max Adams,max.adams83@outlook.com,46.0,Male,"Mumbai, India",desktop,silver,,2024-10-24 09:50:55.000000
CUST1185,Nina Stewart,nina.stewart9@icloud.com,36.0,Female,"Berlin, Germany",mobile,silver,4871.34,2025-04-09 14:52:39.000000
CUST1186,Erik Adams,erik.adams37@outlook.com,38.0,Female,,mobile,silver,13136.61,2025-03-30 10:01:14.000000
,Ines Campbell,ines.campbell2@yahoo.com,23.0,Female,"Dubai, UAE",tablet,silver,0.0,2024-04-16 12:49:14.000000
CUST1188,Hannah Young,hannah.young25@yahoo.com,33.0,Prefer not to say,"Sydney, Australia",desktop,silver,4899.13,2025-04-18 04:05:57.000000
CUST1189,Brian Cruz,brian.cruz46@outlook.com,38.0,Female,"Delhi, India",mobile,gold,3477.95,
CUST1190, mei campbell ,mei.campbell1@outlook.com,31.0,Male,"Mumbai, India",tablet,bronze,326.13,2024-11-27 02:55:15.000000
CUST1191,Ethan Leroy,ethan.leroy73@yahoo.com,64.0,Female,"Sydney, Australia",,gold,2418.41,2026-02-01 00:55:48.000000
CUST1192,Kevin Hill,kevin.hill99@yahoo.com,56.0,Female," Berlin, Germany ",tablet,silver,9635.78,2025-09-22 17:57:30.000000
CUST1193,Mia Singh,mia.singh17@outlook.com,54.0,Female,"Bangalore, India",mobile,bronze,4299.14,2025-09-09 09:50:27.000000
CUST1194,Ryan Chevalier,ryan.chevalier74@gmail.com,44.0,Male,"New York, USA",desktop,,5175.38,2025-11-12 11:49:48.000000
